,Id,degree,group
722,9.41539E+17,10,4
723,1.08247E+18,10,4
724,1.06446E+18,10,0
725,1.20321E+18,10,4
726,591256990,10,4
727,1.00311E+18,10,0
728,80235953,10,0
729,449600949,10,0
730,2420848054,10,1
731,2584026565,10,3
732,8.22568E+17,10,4
733,1.3492E+18,10,3
734,246658516,10,3
735,2562852312,10,0
736,1.02612E+18,10,0
737,480748803,10,3
738,1.03766E+18,10,3
739,47457851,10,4
740,9.76671E+17,10,4
741,9.63939E+17,10,0
742,346017345,10,0
743,66360919,10,0
744,8.6825E+17,10,4
745,1.26648E+18,10,3
746,1.31794E+18,10,3
747,1.20426E+18,10,3
748,340364935,10,0
749,8.86731E+17,10,4
750,1.30313E+18,10,3
751,1688,10,0
752,73537202,10,0
753,247353023,10,4
754,477288141,10,3
755,3311302353,10,0
756,18448119,10,3
757,1.19537E+18,10,0
758,1.16306E+18,10,0
759,886060860,10,0
760,991541053,10,0
761,9.74913E+17,10,4
762,8.05651E+17,10,4
763,1.33887E+18,10,3
764,9.77913E+17,10,3
765,32671625,10,0
766,1.2437E+18,10,3
767,611942280,10,3
768,70444945,10,0
769,1.35133E+18,10,3
770,32522177,10,4
771,318754754,10,4
772,842432472,10,0
773,20002777,10,3
774,62633946,10,3
