,User,Date Created,Number of Likes,Source of Tweet,Tweet,Feeling
361,DisruptorsCo,2020-02-03 06:44:58+00:00,2,Revive Social App,Event Report: Asia’s First #sextech Hackathon in Singapore https://t.co/Km85uxace3 #events #hackathons,Neutral
362,InseadSky,2020-02-02 03:38:54+00:00,2,PostBeyond,"#ZeroHarmCulture at work with innovative safety solutions at the Connected Safety Challenge, a joint #hackathon by Linde AG and Siemens happening in Singapore.  https://t.co/wZRf4PHKjG",Positive
363,JoeBeOne,2020-01-31 19:33:00+00:00,0,TweetDeck,"@eckelcu Hi! the title tag in the 107 Hackathon page still says singapore, shows up in search results",Neutral
364,pydatasg,2020-01-31 07:03:01+00:00,1,Twitter Web App,"PyData Singapore is proud to partner with @ShopeeSG for: 

&gt;&gt;&gt; Shopee Ultra Hackathon 2020 &lt;&lt;&lt; 

Sign up by 14 February with a team of 2 to 4 members now! 

Register now at: https://t.co/DU9jrmSvm4   

#ShopeeUltraHackathon #TechAtShopee https://t.co/oJx5n8vry1",Positive
365,smffskm,2020-01-28 05:22:02+00:00,0,Twitter for Android,"Salam, mohon kerjasama kelab untuk mencari pelajar yang berpotensi menyertai pertandingan Dell Augmented Hackathon. Berikut merupakan maklumat pertandingan tersebut:

Dell Hackathon, Singapore
7 March – 8 March
Submission Deadline: 17 Feb 2020",Neutral
366,girlsintechuwc,2020-01-25 08:29:30+00:00,1,Twitter Web App,"🚨21 days left till SheHACKS, Singapore’s second all-female hackathon 🚨 ⁣
↳ https://t.co/8F8pedRNDV
⁣
EVENT DETAILS:⁣
🗓 Feb 15-16⁣
🕑 8-5pm (tbc, times may differ on each day)⁣
📍 Google Headquarters⁣
👤 All females in Singapore ages 13-19⁣

#GirlsInTech #Singapore https://t.co/TKQHttd10G",Neutral
367,yoannfol,2020-01-23 03:46:23+00:00,1,LinkedIn,"🌱 LESS AirCon 🌱 in Singapore was identified as one of the important actions individuals can take to tackle climate change locally 
- by a lot of the 14/15 years old students during the icebreaker of our Mindful Hackathon for the Global Indian Internati…https://t.co/VtHECmjE6O",Positive
368,Bigdatahires,2020-01-22 22:35:50+00:00,0,Twitter Web App,Analysis of a winning entry to the 48-hour Singapore 2018 #NASA #SpaceApps Challenge’s #environmental theme ...#hackathon https://t.co/5mjv2pTLQY,Positive
369,RABigdatajobs,2020-01-22 22:35:16+00:00,0,Twitter Web App,Analysis of a winning entry to the 48-hour Singapore 2018 #NASA #SpaceApps Challenge’s #environmental theme ...#hackathon https://t.co/eLrqL0Xn3Z,Positive
370,dtinth,2020-01-22 19:42:26+00:00,0,Twitter Web App,"@yishusee My latest trip to Singapore (Super Silly Hackathon) involved exactly 0 SGD of cash. Still cannot do that in Thailand. 🙁

The only places where my card doesn’t work so far were the food courts like Lau Pa Sat. That night I had to go to Rasapura Masters instead to get supper.",Positive
371,skcetofficial,2020-01-21 03:41:42+00:00,5,Twitter Web App,"S. Vishnu Sarath &amp; S. Kiran Subramanian from II CSE C(TCS) have been selected among the 140 teams in the HACK &amp; ROLL 2020–24 hours Hackathon, conducted by National University of Singapore.Vishnu collaborated with Singaporean participants and also won the ‘Top Eight’ rank

#skcet https://t.co/4DA6faG1oQ",Positive
372,MeKanhaiyakumar,2020-01-19 22:47:09+00:00,0,VIC Pro,A nice video related to https://t.co/3eq2wvFyjR PM Narendra Modi's Address | Singapore India Hackathon 2019,Positive
373,delltechcareers,2020-01-17 02:16:40+00:00,6,Sprinklr,"Dell Augmented #Hackathon in Singapore! If you are a skilled #developer who is passionate about creating superior products for the needs of an ever-changing workforce, this will be a great fit for you. Apply now and tell us about your ground-breaking idea. https://t.co/S29XGRjs9V https://t.co/m0AyOszouI",Positive
374,BinanceAngels,2020-01-16 14:48:22+00:00,12,Twitter Web App,"The very first was the #Singapore in 2019. 
Now it's time for... #Vietnam!

#BinanceBlockchainWeek 

#SaveTheDate:
Ho Chi Minh City from February 29 to March 4!

2 days of a #hackathon &amp; 2 days of a conference.
4 days full of #Binance. You can't miss it!

https://t.co/Hbe4B5b9pL https://t.co/aKOkfgVmcv",Positive
375,CorpGovUK,2020-01-06 08:59:20+00:00,1,IFTTT,RT @FinopsNews: Podcast:RegPac Revolution and F10 Hackathon Singapore https://t.co/4sjI3nPbwB #regpacrevolution #singapore #regtech @fintechch #FinOps #RegTech #FinTech,Neutral
376,FinopsNews,2020-01-06 07:14:01+00:00,2,drumup.io,Podcast:RegPac Revolution and F10 Hackathon Singapore https://t.co/4WoRnq8SzZ #regpacrevolution #singapore #regtech @fintechch #FinOps #RegTech #FinTech,Neutral
377,girlsintechuwc,2020-01-05 09:08:23+00:00,2,Twitter Web App,"🚨41 days left till SheHACKS, Singapore’s second all-female hackathon 🚨

Sign up now before it’s too late! ⁣
↳ https://t.co/coNJ6qM8Vg⁣

#SheHACKS #GirlsInTech #Singapore #singaporeevents #hackathon https://t.co/EBITh1jPZV",Neutral
